AVAPS-T07 STA 234020777 240813 174401.27
AVAPS-T07 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T07 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T07 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T07 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D07 P00 234020777 240813 174429.50  856.25  20.40  12.85 179.03 223.02   0.46  -22.102088   6.021443 99999.00  10  12.85 999.00  10  0.13 13860.63
AVAPS-D07 P10 234020777 240813 174429.75 9999.00  99.00 999.00 179.01 223.03   0.54  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174430.00  856.21  20.40  12.87 178.98 223.01   0.61  -22.102105   6.022449 99999.00  10  12.87 999.00  10  0.13 13860.83
AVAPS-D07 P10 234020777 240813 174430.25 9999.00  99.00 999.00 178.96 223.02   0.64  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174430.50  856.07  20.40  12.87 178.94 223.02   0.62  -22.102124   6.023454 99999.00  10  12.87 999.00  10  0.13 13861.12
AVAPS-D07 P10 234020777 240813 174430.75 9999.00  99.00 999.00 178.91 223.03   0.62  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174431.00  856.13  20.40  12.85 178.88 223.04   0.65  -22.102143   6.024460 99999.00  10  12.85 999.00  10  0.13 13861.39
AVAPS-D07 P10 234020777 240813 174431.25 9999.00  99.00 999.00 178.87 223.03   0.53  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174431.50  856.05  20.40  12.86 178.84 223.05   0.54  -22.102163   6.025466 99999.00  10  12.86 999.00  10  0.13 13861.65
AVAPS-D07 P10 234020777 240813 174431.75 9999.00  99.00 999.00 178.81 223.06   0.55  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
