AVAPS-T04 STA 234030497 240813 172632.54
AVAPS-T04 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T04 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T04 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T04 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D04 P00 234030497 240813 172700.25  856.10  21.22  11.35 270.95 194.82  -0.04  -23.328503   4.800656 99999.00  10  11.35 999.00  10  0.16 13873.64
AVAPS-D04 P10 234030497 240813 172700.50 9999.00  99.00 999.00 270.94 194.82  -0.13  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172700.75  856.09  21.22  11.34 270.92 194.80  -0.13  -23.327627   4.800642 99999.00  10  11.34 999.00  10  0.16 13873.61
AVAPS-D04 P10 234030497 240813 172701.00 9999.00  99.00 999.00 270.89 194.83  -0.21  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172701.25  856.17  21.22  11.34 270.87 194.84  -0.15  -23.326751   4.800628 99999.00  10  11.34 999.00  10  0.16 13873.55
AVAPS-D04 P10 234030497 240813 172701.50 9999.00  99.00 999.00 270.85 194.82  -0.22  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172701.75  856.32  21.22  11.34 270.83 194.83  -0.19  -23.325875   4.800615 99999.00  10  11.34 999.00  10  0.16 13873.47
AVAPS-D04 P10 234030497 240813 172702.00 9999.00  99.00 999.00 270.81 194.83  -0.18  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172702.25  856.15  21.22  11.35 270.79 194.84  -0.20  -23.324998   4.800603 99999.00  10  11.35 999.00  10  0.16 13873.40
AVAPS-D04 P10 234030497 240813 172702.50 9999.00  99.00 999.00 270.77 194.86  -0.21  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172702.75  856.20  21.22  11.36 270.76 194.85  -0.21  -23.324122   4.800591 99999.00  10  11.36 999.00  10  0.16 13873.30
AVAPS-D04 P10 234030497 240813 172703.00 9999.00  99.00 999.00 270.73 194.85  -0.19  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172703.25  856.05  21.22  11.35 270.72 194.86  -0.23  -23.323246   4.800579 99999.00  10  11.35 999.00  10  0.16 13873.21
AVAPS-D04 P10 234030497 240813 172703.50 9999.00  99.00 999.00 270.70 194.87  -0.17  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172703.75  855.96  21.22  11.32 270.68 194.87  -0.21  -23.322370   4.800568 99999.00  10  11.32 999.00  10  0.16 13873.16
AVAPS-D04 P10 234030497 240813 172704.00 9999.00  99.00 999.00 270.66 194.85  -0.13  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172704.25  856.17  21.22  11.35 270.64 194.88  -0.13  -23.321493   4.800558 99999.00  10  11.35 999.00  10  0.16 13873.09
AVAPS-D04 P10 234030497 240813 172704.50 9999.00  99.00 999.00 270.62 194.87  -0.18  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172704.75  856.07  21.22  11.36 270.60 194.87  -0.13  -23.320617   4.800549 99999.00  10  11.36 999.00  10  0.16 13873.02
AVAPS-D04 P10 234030497 240813 172705.00 9999.00  99.00 999.00 270.59 194.87  -0.14  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172705.25  856.08  21.22  11.34 270.58 194.88  -0.11  -23.319740   4.800540 99999.00  10  11.34 999.00  10  0.16 13872.97
AVAPS-D04 P10 234030497 240813 172705.50 9999.00  99.00 999.00 270.55 194.87  -0.09  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172705.75  856.07  21.22  11.30 270.53 194.89  -0.01  -23.318864   4.800531 99999.00  10  11.30 999.00  10  0.16 13872.93
AVAPS-D04 P10 234030497 240813 172706.00 9999.00  99.00 999.00 270.52 194.86  -0.15  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172706.25  856.04  21.22  11.35 270.49 194.85  -0.02  -23.317987   4.800523 99999.00  10  11.35 999.00  10  0.16 13872.93
AVAPS-D04 P10 234030497 240813 172706.50 9999.00  99.00 999.00 270.47 194.87  -0.00  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172706.75  856.11  21.23  11.36 270.46 194.88  -0.07  -23.317111   4.800516 99999.00  10  11.36 999.00  10  0.16 13872.95
